ID;In welchem Bereich arbeitest du hauptsächlich?;Wie groß ist dein Unternehmen?;In welcher Branche ist dein Unternehmen tätig?;Wie häufig nutzt du GenAI-Tools im beruflichen Umfeld?;Für welche Aufgaben setzt du GenAI hauptsächlich ein?;Welche GenAI Modelle/Tools nutzt du?;Wie schätzt du aktuell deine Kompetenz im Umgang mit GenAI ein?;Heute;In 1-3 Jahren;Wie sicher fühlst du dich bei der Einordnung der Ergebnisse von GenAI-Antworten?;Warum nutzt du keine GenAI-Tools?;In welchen Bereichen wünschst du dir Verbesserungen bei der persönlichen Nutzung von GenAI-Tools?;Bist du dir der Datenschutz-/Datensicherheitsregeln bezüglich der Nutzung von GenAI-Tools bewusst?;GenAI wird aktuell als Wachstumstreiber und als Effizienzhebel beschrieben. Wie denkst du wird sich GenAI primär in deinem Unternehmen auswirken?;In welchem Stadium befinden sich die Dir bekannten KI-Anwendungsfälle überwiegend;Was ist aktuell die größte Herausforderung beim unternehmensweiten Einsatz von (Gen)AI?;Welche Modellstrategie wird Deiner Einschätzung nach in den nächsten 5 Jahren dominieren?
66;Management (Projekt, Produkt, Führung);Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Bildgenerierung;";"Microsoft Copilot;OpenAI ChatGPT;Lokale OpenSource Modelle (z.B. Llama, DeepSeek, Gemma, Mistral, Phi, qwen o.a.);";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Leichte Verbesserung;Leichte Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Akzeptanz im Team/Unternehmen;Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);Erzeugung von präziseren und treffsicheren Antworten;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Wachstumstreiber (neue Produkte, Märkte, Umsatzpotenziale);Prototyp vorhanden, weitere Entwicklung erforderlich;Integration in bestehende IT-Systeme;Spezialisierte, kleinere Modelle für spezifische Aufgaben
67;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Konzern (über 5000 Mitarbeiter);Energie & Versorgung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Softwareentwicklung ;Testfallerstellung;Bugfixing;";"Andere cloudbasierte Modelle/Tools;Lokale OpenSource Modelle (z.B. Llama, DeepSeek, Gemma, Mistral, Phi, qwen o.a.);Microsoft Copilot;";Ich entwickle eigene GenAI-basierte Lösungen (z.B. mit Hilfe von MCP-Zugriffen oder eigenen Agenten).;Deutliche Verbesserung;Deutliche Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);Datensicherheit;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Gleichermaßen beides;In Konzeption oder Entwicklung;Unklare Governance und regulatorische Unsicherheit;Hybridansatz aus großen und spezialisierten Modellen
68;Management (Projekt, Produkt, Führung);Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Bildgenerierung;";"OpenAI ChatGPT;Microsoft Copilot;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Leichte Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Akzeptanz im Team/Unternehmen;Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Wachstumstreiber (neue Produkte, Märkte, Umsatzpotenziale);In Konzeption oder Entwicklung;Unklarer Business Case / ROI-Nachweis;Spezialisierte, kleinere Modelle für spezifische Aufgaben
69;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Texterstellung (Dokumentation, Berichte, Anforderungen);Recherche und Wissensvermittlung;";"OpenAI ChatGPT;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Leichte Verbesserung;Ich nutze den Großteil der Antworten als Vorlage, bei Zweifeln lasse ich die KI das Ergebnis überprüfen.;;"Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Bisher weder noch erkennbar;In Konzeption oder Entwicklung;Fehlende Datenqualität und -verfügbarkeit;Ein zentrales, universelles Modell für alle Anwendungsfälle
70;Qualitätssicherung & Testing;Konzern (über 5000 Mitarbeiter);Energie & Versorgung;Selten;"Recherche und Wissensvermittlung;";"OpenAI ChatGPT;Microsoft Copilot;Andere cloudbasierte Modelle/Tools;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Keine Einschätzung möglich;Deutliche Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Benutzbarkeit (UI/UX);Kosten;Datensicherheit;Fehlerrate der Modelle;Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Gleichermaßen beides;In Konzeption oder Entwicklung;Mangel an qualifiziertem Personal und Know-how;Hybridansatz aus großen und spezialisierten Modellen
71;Management (Projekt, Produkt, Führung);Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Präsentationserstellung;";"Microsoft Copilot;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Deutliche Verbesserung;Deutliche Verbesserung;Ich nutze den Großteil der Antworten als Vorlage, bei Zweifeln lasse ich die KI das Ergebnis überprüfen.;;"Benutzbarkeit (UI/UX);Datensicherheit;Kosten;Akzeptanz im Team/Unternehmen;Mehr Integration (Email, Terminkalender, Office Tools);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Wachstumstreiber (neue Produkte, Märkte, Umsatzpotenziale);Prototyp vorhanden, weitere Entwicklung erforderlich;Integration in bestehende IT-Systeme;Ein zentrales, universelles Modell für alle Anwendungsfälle
72;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Konzern (über 5000 Mitarbeiter);Energie & Versorgung;Täglich;"Recherche und Wissensvermittlung;Softwareentwicklung ;Bugfixing;";"OpenAI ChatGPT;Andere cloudbasierte Modelle/Tools;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Deutliche Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Integration in bestehende IT-Systeme;Hybridansatz aus großen und spezialisierten Modellen
73;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Konzern (über 5000 Mitarbeiter);Energie & Versorgung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Softwareentwicklung ;";"Lokale OpenSource Modelle (z.B. Llama, DeepSeek, Gemma, Mistral, Phi, qwen o.a.);";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Deutliche Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Benutzbarkeit (UI/UX);Kosten;Erzeugung von präziseren und treffsicheren Antworten;Datensicherheit;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Unklare Governance und regulatorische Unsicherheit;Hybridansatz aus großen und spezialisierten Modellen
74;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Konzern (über 5000 Mitarbeiter);Energie & Versorgung;Selten;"Testfallerstellung;Recherche und Wissensvermittlung;Bildgenerierung;";"Anthrophic Claude;OpenAI ChatGPT;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Keine Änderung;Leichte Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Datensicherheit;Kosten;Akzeptanz im Team/Unternehmen;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Bisher weder noch erkennbar;Prototyp vorhanden, weitere Entwicklung erforderlich;Mangel an qualifiziertem Personal und Know-how;Mehrere große Modelle in Kombination
75;Management (Projekt, Produkt, Führung);Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Gar nicht;;;;;;;Ich finde Sie besonders um beruflichen Umfeld problematisch.;"Mehr Integration (Email, Terminkalender, Office Tools);";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Prototyp vorhanden, weitere Entwicklung erforderlich;Mangel an qualifiziertem Personal und Know-how;Spezialisierte, kleinere Modelle für spezifische Aufgaben
76;Management (Projekt, Produkt, Führung);Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Wöchentlich;"Texterstellung (Dokumentation, Berichte, Anforderungen);";"OpenAI ChatGPT;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Deutliche Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Datensicherheit;Kosten;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Gleichermaßen beides;Prototyp vorhanden, weitere Entwicklung erforderlich;Unklare Governance und regulatorische Unsicherheit;Spezialisierte, kleinere Modelle für spezifische Aufgaben
77;IT-Consulting;Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Selten;"Recherche und Wissensvermittlung;";"Microsoft Copilot;OpenAI ChatGPT;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Keine Änderung;Leichte Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Prototyp vorhanden, weitere Entwicklung erforderlich;Integration in bestehende IT-Systeme;Kann ich nicht einschätzen
78;Management (Projekt, Produkt, Führung);Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Präsentationserstellung;Prozessautomatisierung;Entscheidungsautomatisierung;Bildgenerierung;Softwareentwicklung ;Konzeption;";"OpenAI ChatGPT;Microsoft Copilot;Google Gemini;Andere cloudbasierte Modelle/Tools;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Leichte Verbesserung;Keine Änderung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Benutzbarkeit (UI/UX);Datensicherheit;Akzeptanz im Team/Unternehmen;Erzeugung von präziseren und treffsicheren Antworten;Mehr Integration (Email, Terminkalender, Office Tools);";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Bisher weder noch erkennbar;Prototyp vorhanden, weitere Entwicklung erforderlich;Fehlende Datenqualität und -verfügbarkeit;Spezialisierte, kleinere Modelle für spezifische Aufgaben
79;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Gar nicht;;;;;;;Ich habe sie ausprobiert und finde sie nicht gut.;"Fehlerrate der Modelle;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Bisher weder noch erkennbar;Unternehmensweiter Rollout abgeschlossen;Fehlende Datenqualität und -verfügbarkeit;Kann ich nicht einschätzen
80;Management (Projekt, Produkt, Führung);Konzern (über 5000 Mitarbeiter);Energie & Versorgung;Täglich;"Recherche und Wissensvermittlung;Präsentationserstellung;";"Microsoft Copilot;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Leichte Verbesserung;Deutliche Verbesserung;Normalerweise übernehme ich die Antworten von KI-Tools, so wie sie sind.;;"Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Bisher weder noch erkennbar;Unternehmensweiter Rollout abgeschlossen;Integration in bestehende IT-Systeme;Kann ich nicht einschätzen
81;Operations (DevOps, Platform Engineering, IT-Admin);Großes Unternehmen (251-5000 Mitarbeiter);Energie & Versorgung;Selten;"Recherche und Wissensvermittlung;Bugfixing;";"Microsoft Copilot;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Keine Änderung;Leichte Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Gleichermaßen beides;In Konzeption oder Entwicklung;Fehlende Datenqualität und -verfügbarkeit;Spezialisierte, kleinere Modelle für spezifische Aufgaben
82;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Softwareentwicklung ;Bugfixing;Testfallerstellung;Recherche und Wissensvermittlung;";"Andere cloudbasierte Modelle/Tools;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Keine Änderung;Keine Änderung;Ich nutze den Großteil der Antworten als Vorlage, bei Zweifeln lasse ich die KI das Ergebnis überprüfen.;;"Datensicherheit;Fehlerrate der Modelle;Kosten;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Bisher weder noch erkennbar;In Konzeption oder Entwicklung;Fehlende Datenqualität und -verfügbarkeit;Spezialisierte, kleinere Modelle für spezifische Aufgaben
83;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Konzern (über 5000 Mitarbeiter);Energie & Versorgung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Präsentationserstellung;Bildgenerierung;Softwareentwicklung ;Testfallerstellung;Bugfixing;";"Microsoft Copilot;Lokale OpenSource Modelle (z.B. Llama, DeepSeek, Gemma, Mistral, Phi, qwen o.a.);Google Gemini;";Ich entwickle eigene GenAI-basierte Lösungen (z.B. mit Hilfe von MCP-Zugriffen oder eigenen Agenten).;Deutliche Verbesserung;Deutliche Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Datensicherheit;Kosten;Akzeptanz im Team/Unternehmen;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Gleichermaßen beides;Prototyp vorhanden, weitere Entwicklung erforderlich;Mangel an qualifiziertem Personal und Know-how;Spezialisierte, kleinere Modelle für spezifische Aufgaben
84;Management (Projekt, Produkt, Führung);Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Wöchentlich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Präsentationserstellung;Entscheidungsautomatisierung;";"Microsoft Copilot;Google Gemini;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Deutliche Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Datensicherheit;Mehr Integration (Email, Terminkalender, Office Tools);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Gleichermaßen beides;In Konzeption oder Entwicklung;Integration in bestehende IT-Systeme;Kann ich nicht einschätzen
85;Support & Service;Konzern (über 5000 Mitarbeiter);Energie & Versorgung;Täglich;"Recherche und Wissensvermittlung;";"OpenAI ChatGPT;Microsoft Copilot;Google Gemini;Andere cloudbasierte Modelle/Tools;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Leichte Verbesserung;Keine Einschätzung möglich;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Fehlerrate der Modelle;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Wachstumstreiber (neue Produkte, Märkte, Umsatzpotenziale);Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Unklare Governance und regulatorische Unsicherheit;Spezialisierte, kleinere Modelle für spezifische Aufgaben
86;Management (Projekt, Produkt, Führung);Konzern (über 5000 Mitarbeiter);Energie & Versorgung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Präsentationserstellung;Softwareentwicklung ;Testfallerstellung;";"OpenAI ChatGPT;Anthrophic Claude;";Ich entwickle oder trainiere eigene Modelle.;Deutliche Verbesserung;Leichte Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Akzeptanz im Team/Unternehmen;Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);Mehr Integration (Email, Terminkalender, Office Tools);";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Wachstumstreiber (neue Produkte, Märkte, Umsatzpotenziale);Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Unklare Governance und regulatorische Unsicherheit;Mehrere große Modelle in Kombination
87;Sonstiges;Konzern (über 5000 Mitarbeiter);Energie & Versorgung;Selten;"Recherche und Wissensvermittlung;";"Andere cloudbasierte Modelle/Tools;Lokale OpenSource Modelle (z.B. Llama, DeepSeek, Gemma, Mistral, Phi, qwen o.a.);";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Keine Einschätzung möglich;Leichte Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Erzeugung von präziseren und treffsicheren Antworten;Fehlerrate der Modelle;Kosten;Datensicherheit;Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Bisher weder noch erkennbar;Prototyp vorhanden, weitere Entwicklung erforderlich;Unklarer Business Case / ROI-Nachweis;Kann ich nicht einschätzen
88;Qualitätssicherung & Testing;Großes Unternehmen (251-5000 Mitarbeiter);Energie & Versorgung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);";"Microsoft Copilot;Andere cloudbasierte Modelle/Tools;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Deutliche Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Erzeugung von präziseren und treffsicheren Antworten;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Gleichermaßen beides;In Konzeption oder Entwicklung;Unklare Governance und regulatorische Unsicherheit;Spezialisierte, kleinere Modelle für spezifische Aufgaben
89;Qualitätssicherung & Testing;Großes Unternehmen (251-5000 Mitarbeiter);Energie & Versorgung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Testfallerstellung;";"Microsoft Copilot;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Datensicherheit;Erzeugung von präziseren und treffsicheren Antworten;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Unternehmensweiter Rollout abgeschlossen;Unklare Governance und regulatorische Unsicherheit;Kann ich nicht einschätzen
90;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Großes Unternehmen (251-5000 Mitarbeiter);Energie & Versorgung;Gar nicht;;;;;;;Ich habe sie ausprobiert und finde sie nicht gut.;"Datensicherheit;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Bisher weder noch erkennbar;In Konzeption oder Entwicklung;Unklare Governance und regulatorische Unsicherheit;Kann ich nicht einschätzen
91;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Großes Unternehmen (251-5000 Mitarbeiter);Energie & Versorgung;Wöchentlich;"Recherche und Wissensvermittlung;Softwareentwicklung ;Testfallerstellung;Bugfixing;";"Lokale OpenSource Modelle (z.B. Llama, DeepSeek, Gemma, Mistral, Phi, qwen o.a.);";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Leichte Verbesserung;Deutliche Verbesserung;Ich nutze den Großteil der Antworten als Vorlage, bei Zweifeln lasse ich die KI das Ergebnis überprüfen.;;"Akzeptanz im Team/Unternehmen;Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Mangel an qualifiziertem Personal und Know-how;Spezialisierte, kleinere Modelle für spezifische Aufgaben
92;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Gar nicht;;;;;;;Ich habe sie ausprobiert und finde sie nicht gut.;"Datensicherheit;Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Fehlende Datenqualität und -verfügbarkeit;Kann ich nicht einschätzen
93;IT-Consulting;Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Präsentationserstellung;Bildgenerierung;";"OpenAI ChatGPT;Microsoft Copilot;";Ich nutze erweiterte Funktionen (z.B. Automatisierungen, eigene Workflows), um meine Aufgaben zu lösen.;Leichte Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Gleichermaßen beides;In Konzeption oder Entwicklung;Unklarer Business Case / ROI-Nachweis;Ein zentrales, universelles Modell für alle Anwendungsfälle
94;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Gar nicht;;;;;;;Ich habe alles versucht aber keine sinnvolle Einsatzmöglichkeit für Sprachgeneratoren (Sprache ist Text, Ton, Bild, etc.) finden können, die helfen die Prozesslogik von Software zu verstehen und zu ändern. Einzig die Generierung von Dokumentationen wäre vorstellbar, aber da ja lediglich halluziniert wird, müsste man das Resultat wegwerfen und selbst neu erstellen, was keinerlei Produktivitäts- oder Zeitgewinn bedeutet.;"Fehlerrate der Modelle;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Bisher weder noch erkennbar;In Konzeption oder Entwicklung;Unklarer Business Case / ROI-Nachweis;Spezialisierte, kleinere Modelle für spezifische Aufgaben
95;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Konzern (über 5000 Mitarbeiter);Energie & Versorgung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Softwareentwicklung ;Testfallerstellung;";"Microsoft Copilot;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Deutliche Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;";Grundlegende Richtlinien sind mir bekannt, aber ich wende sie nicht immer konsequent an.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Prototyp vorhanden, weitere Entwicklung erforderlich;Unklare Governance und regulatorische Unsicherheit;Hybridansatz aus großen und spezialisierten Modellen
96;Support & Service;Großes Unternehmen (251-5000 Mitarbeiter);Energie & Versorgung;Wöchentlich;"Texterstellung (Dokumentation, Berichte, Anforderungen);Bildgenerierung;";"OpenAI ChatGPT;";Ich habe GenAI-Tools wie ChatGPT lediglich ausprobiert.;Leichte Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;Mehr Integration (Email, Terminkalender, Office Tools);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Fehlende Datenqualität und -verfügbarkeit;Hybridansatz aus großen und spezialisierten Modellen
